"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M11","-0.06743088334457181","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M12","-0.8650472334682861","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M01","0.00544521433724935","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M02","-0.3185276942134136","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M03","-0.5667153723251717","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M04","-0.6454802647842448","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M05","0.5321795864204357","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M06","-0.438614582903656","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M07","0.8548543018920039","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M08","0.3573922688247135","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M09","-0.3492973120480284","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M10","0.6010899033326944","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M11","0.05580281191730295","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M12","-0.6026063062817967","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M01","0.7458499267835393","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M02","0.4265377091936536","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M03","0.07709995942107399","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M04","0.9150256126076203","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M05","0.5745740919318547","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M06","-0.9534843460775305","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M07","1.279965580757492","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M08","0.4619734763504095","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M09","0.05682043421382983","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M10","0.4490227152667723","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M11","0.3313173810149882","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M12","0.1506971380647867","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M01","1.631622332421788","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M02","-0.07209619692561217","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M03","0.1339895385091087","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M04","0.3473919868248372","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M05","0.6026259103497795","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M06","-0.2357829267670974","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M07","1.476806724836159","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M08","0.7201037352233958","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M09","-0.1862383601024936","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M10","0.4094870767381286","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M11","0.5574747764488732","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M12","0.04092769440654843","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M01","0.9285546037216568","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M02","-0.2726870731587481","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M03","0.7587141273555857","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M04","0.5366354546121311","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M05","0.2103471335643504","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M06","0.006066635929044626","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M07","0.2317314341870594","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M08","0.6221705764156196","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M09","0.5726109132903474","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M10","-0.2033395531314291","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M11","0.1270465277944243","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2012-M12","0.7313861623174527","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M01","0.1948877612862592","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M02","1.004566210045662","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M03","-0.5389727812874287","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M04","-1.481647639398841","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M05","0.3571086185408877","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M06","0.2041888567812194","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M07","0.2788469559207312","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M08","0.8056945253175839","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M09","0.1473552676561082","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M10","0.1577324198978271","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M11","0.706327566754419","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2013-M12","-0.3174269742907491","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M01","0.1100483510308252","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M02","-0.02338880377963069","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M03","0.2666947397971716","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M04","-0.4083108762351404","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M05","0.3361876090852651","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M06","-0.1669468571962268","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M07","-0.298200273642604","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M08","0.53484716976706","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M09","-0.1843339477798259","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M10","-0.2992192248351957","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M11","0.1875732708089097","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2014-M12","-0.1135033934004212","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M01","-0.2155500626735237","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M02","0.09157186630507519","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M03","0.2416223887774611","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M04","-0.6236617015550589","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M05","0.45566937477923","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M06","-0.1078331399369411","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M07","-0.3567028454092109","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M08","0.09538276751333592","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M09","0.001176442907225712","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M10","-0.4305730385986377","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M11","0.2008577808759762","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2015-M12","0.008254035633850979","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M01","-0.2193034168887212","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M02","-0.1016212128373588","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M03","0.04139954105651629","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M04","-0.0508412452558024","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M05","-0.6518087396787092","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M06","0.7430075134253361","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M07","-0.2801186663042065","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M08","0.4930662557781202","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M09","0.009435520015096832","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M10","-0.2865768804396537","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M11","0.3205166112760346","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2016-M12","0.1556200042441819","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M01","0.1742119264543165","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M02","-0.002350121031233109","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M03","0.04230317273795535","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M04","-0.3042191317421537","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M05","0.3381363620297607","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M06","-0.1420788126438401","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M07","-0.2328233952235928","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2017-M08","0.3347280334728033","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M01","1.737599510104103","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M02","1.194510721721554","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M03","1.155346908913547","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M04","1.083119991516822","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M05","1.090881505082689","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M06","1.379616586023152","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M07","1.088010667959753","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M08","0.6681346525096525","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M09","0.4397789056734491","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M10","0.4229915401691966","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M11","0.5451514559899079","Units"
